Character,Text
Dara,"Ciri! Ciri! Ciri! Ciri! Ciri! Ciri! Ciri! Ciri!"
voices,"Ciri. Ciri. Ciri."
voices,"Ciri. Ciri…"
Ciri,"Dara? Please… don’t hurt me."
Dryad General,"Keep your aim true."
Ciri,"I’m lost. I don’t know how I got here. Please."
Dryad General,"If she runs, kill her."
Ciri,"Where are you taking me? I need to find Dara. Please!"
Eithne,"What is your name?"
Ciri,"Fiona. Where am I? How did I get-"
Eithne,"You are in Brokilon Forest. Follow me."
Councilman,"I tell you no lie, I swallowed the whole village, it did. Not a bone to be found! Of, don’t give me that look, shitling. That’s why we had to call him… The White Wolf! And he stood in the middle of that frozen lake like he knew it was coming for him. The ice cracked open and a selkiemore shot out! Oh, you’ve never seen one, but it’d take down a ship with its cavernous mouth full of devil’s teeth! And it… swallowed… that witcher… whole!"
Jaskier,"Oh, this is brilliant! Oh, sorry. It’s just Geralt’s usually so stingy with the details. Uh… and then what happened?"
Councilman,"He died."
Jaskier,"Eh… He’s fine."
Councilman,"Look, I was there. I saw it with my own-"
Jaskier,"See?"
Councilman,"Oh… What’s that stench?"
Geralt,"Selkiemore guts. Had to get it from the inside. I’ll take what I’m owed."
Jaskier,"Toss a coin to your witcher / O, Valley of Plenty o-oh-oh"
all humans,"Toss a coin to your witcher / A friend of humanity"
Jaskier,"Yikes. Thank you. You’re welcome. And now, Witcher, it’s time to repay your dept. “What debt?” you’re probably asking yourself in your head right now. Well, I’ll tell you. I’ve made you famous, Witcher. By rights, I should be claiming ten percent of all your coin, but instead, what I’m asking for is a teeny, teeny-weeny little favor."
Geralt,"Fuck off, bard."
Jaskier,"For one measly night of service you will gain a cornucopia of earthly delights. The greatest masters of the culinary arts crafting morsels worthy of the gods. Maidens that would make the sun itself blush with a single comely smile. And rivers of the sweetest of drinks from the rarest of- Fuck! Food, women and wine, Geralt."
Jaskier,"Now, now, stop your boorish grunts of protest. It is one night bodyguarding your very best friend in the whole wide world. How hard could it be?"
Geralt,"I’m not your friend."
Jaskier,"Oh. Oh, really? Oh, you usually just let strangers rub chamomile onto your lovely bottom? Yeah, well, yeah, exactly. That’s what I thought. Every lord, knight and twopenny king worth his salt will be at this betrothal. The Lioness of Cintra herself will sing the praises of Jaskier’s triumphant performance!"
Geralt,"How many of these lords want to kill you?"
Jaskier,"Hard to say. One stops keeping count after a while. Wives, concubines, mothers sometimes. Ooh, yeah, that face! Ohh! Scary face! No lord in his right mind will come close if you’re standing next to me with a puss like that. Ohh, on second thoughts… might wanna lay off the Cintran ale. A clear head would be best."
Geralt,"I will not suffer tonight sober just because you hid your sausage in the wrong royal pantry. I’m not killing anyone. Not over the petty squabbles of men."
Jaskier,"Yes, yes, yes. You never get involved. Except you actually do, all of the time. Uhg. Is this what happens when you get old? You get unbearably crochety and cantankerous? Actually, I’ve always wanted to know, do witchers ever retire?"
Geralt,"Yeah. When they slow and get killed."
Jaskier,"Come on, you must want something for yourself once all this… monster hunting nonsense is over with."
Geralt,"I want nothing."
Jaskier,"Well, who knows? Maybe someone out there will want you."
Geralt,"I need no one. And the last thing I want is someone needing me."
Jaskier,"And yet… here we are."
Geralt,"Hm. Where the fuck are my clothes, Jaskier?"
Jaskier,"Ah. Well, uh, they were sort of covered in selkiemore guts, so I sent them away to be washed. Anyway you’re not going tonight as a witcher."
Jaskier,"Right, so stick close to me, look mean and pretend you’re a mute. Can’t have anyone finding out who you actually are."
Mousesack,"Geralt of Rivia, the mighty Witcher!"
Jaskier,"Oh, shit."
Mousesack,"I haven’t seen you since the plague."
Geralt,"Good times, Mousesack."
Mousesack,"I’ve missed your sour complexion. I feared this would be a dull affair, but now the White Wolf is here, perhaps all is not lost. Why are you dressed like a sad silk trader?"
Jaksier,"What?"
Mousesack,"Walk with me."
man,"To Mousesack!"
all,"Yeah!"
Crach An Craite,"To Mousesack!"
herald,"Prince Windhalm of Attre!"
Mousesack,"I’ve been advising the Skelligen crown for years. A tad rough around the edges, but they’re of the earth. Like me."
herald,"Castellan Haxo."
Geralt,"Old and crusty. How long before this horse trading is done? I find royalty best taken in… small doses."
Mousesack,"I wouldn’t count on leaving before dawn. These suitors will vie all night for Princess Pavetta’s hand. Marrying into this monarchy is a mighty prize. Who wouldn’t want to be king of the most powerful force in the land?"
Geralt,"Hm. So, which one of these little shits is your coin on?"
Mousesack,"Come with me, there’s much for you to see. It’s not a fair bet. That red-headed scanderlout over there, Crach An Craite, will marry Pavetta. The Lioness has already arranged it with the boy’s uncle, Eist Tuirseach. No one would dare make a move on an alliance that powerful."
Geralt,"Handy with a blade. And with women, too."
Mousesack,"All an act. Queen Calanthe refused his proposal three times after King Roegner died, despite the two of them gliding around each other like courting swans. No, no, no. She was not for living in her husband’s shadow again."
seething lord,"Something about you reminds me of a scoundrel I once saw fleeing my wife’s chambers!"
Jaskier,"Um, well…"
seething lord,"Drop your trousers."
Jaskier,"What?"
seething lord,"I didn’t get a proper look at the little shit’s face, but that pimply arse I’d remember anywhere."
Jaskier,"Well… uh, uh… Ah, Geralt."
Geralt,"Forgive me, my lord. This… happens all the time. It’s true, he has the face of a cad and a coward."
seething lord,"Mm."
Geralt,"But, truth be known… he was kicked in the balls by an ox as a child."
Jaskier,"Well, that’s…tr- true."
seething lord,"Apologies. Here, drown your… sorrows on me, eunuch."
Jaskier,"Oh, wow. Thank you. Thank you so much. First of all, you hog all the fanfare, then you go and ruin my courtly reputation."
Geralt,"I saved your life. You’re on your own from here on. Try not to get any daggers in your back before dawn."
herald,"All rise for Her Majesty, the Lioness, Queen Calanthe of Cintra!"
Calanthe,"Beer! Apologies, noble sirs. A few upstart townships in the south needed reminding who was Queen. I find it’s good for one’s blood and humors. Ready your suit’s tales of glory, good lords. My daughter is eager to have this over with. As am I. Bard, music!"
Jaskier,"She"
Calanthe,"No, no, no! A jig! You can save your bloody maudlin nonsense for my funeral."
Jaskier,"Three, four…"
Calanthe,"It will be done soon. You think I wanted to marry your father? I’ll have none of your waterworks here. You’re the daughter of the Lioness, behave like it!"
Pavetta,"Perhaps I should have some starving serfs brought in to slaughter, then. Or I could decapitate some elves and have their heads hung about as a lesson to those who would defy me."
Calanthe,"I will not have your hysteria turn this night upside down. Besides, that boorish lout is the key to Cintra holding power after I taste clay. He’s from good stock. You could do worse."
Pavetta,"I could do better!"
Calanthe,"You can have who you want when you’re married. You have your mother’s blood. You’ll be fine."
Eithne,"Where were you headed, Fiona, to end up so lost?"
Ciri,"I was running… from the war."
Eithne,"You… really don’t remember how you came to be in Brokilon Forest? Yet you heard it call to you. There were many forests like it… before the Conjunction of the Spheres. We adapted, fought off the mutants and men who sought our end. Now only we remain. Dryads."
Ciri,"Dara! I’m so glad you’re alive! is he going to be alright?"
dryad,"Bite down on this."
Eithne,"The waters of Brokilon are potent. All newcomers to the forest must drink the waters. If they bear ill intent towards Brokilon, they die. If they’re pure in heart, they survive and may stay here. And over time, the waters of Brokilon will lessen the suffering they have endured and make them forget. I think you’d like that. Am I right… Fiona? Because you’re scared of more than just war, aren’t you? You’ll both drink the waters, and all will be revealed."
Crach An Creite,"You lie, you little shite! You never faced so much as a bad meal in your life, never mind a manticore."
Lord Tinglant,"I’ve had manticores thrice as fat and ugly as you perish under my steel!"
Crach An Creite,"Under your bullshit, more like. How many stings has it got, then?"
Lord Tinglant,"Two."
Crach An Creite,"Hah! Go away and shite! It’s five. I know."
noble,"Your Majesty, that’s Geralt of Rivia."
Crach An Creite,"I’ve actually killed one."
Lord Tinglant,"You-"
Calanthe,"Enough! We have a renowned guest here tonight. Perhaps he can declare which esteemed lord is telling the truth."
Geralt,"Neither."
Crach An Creite,"Are you calling me a liar, old man?"
Lord Tinglant,"Aah. The Butcher of Blaviken bleats utter nonsense."
Geralt,"Perhaps the lords encountered… rare subspecies of manticore."
Lord Tinglant,"Aye."
Calanthe,"Perhaps our esteemed guest would like to entertain us with how he slayed the elves at the edge of the world?"
Geralt,"There was no slaying. I had my arse kicked by a ragged band of elves. I was about to have my throat cut when Filavandrel let me go."
Lord Tinglant,"But the song."
Jaskier,"Yeah, the song."
Geralt,"At least when Filavandrel’s blade kissed my throat, I didn’t shit myself. Which is all I can hope for you, good lords. At your final breath, a shitless death."
man,"Not going to shit meself…"
Geralt,"But I doubt it."
Eist,"It would have been your blade at Filavandrel’s throat had you been there, Your Majesty. Not that any elven bastards would crawl from their lair to meet you on the field."
Calanthe,"Any man willing to paint himself in the shadow of his failures will make for fare more interesting conversation this night. Come, Witcher. Take a seat by my side while I change."
Geralt,"Hm."
Dara,"Why did she call you Fiona?"
Ciri,"Mousesack, he… helped raise me and… he warned me not the let anyone know who I was outside the castle. And now, the Black Knight is after me."
Dara,"Castle?"
Ciri,"I’m Princess Cirilla of Cintra. What’s the matter?"
Dara,"Your grandmother slaughtered my family!"
Ciri,"No, that’s not true."
Dara,"She ordered it. After Filavandrel’s uprising-"
Ciri,"She wouldn’t do that."
Dara,"Her soldiers… they laughed then they did it. Killing, raping… They laughed the hardest when they were swinging babies from their legs, smashing their heads in. I was the only one left. Because I hid. I should’ve saved them. Or fought and died."
Ciri,"Uh… I don’t know what to say."
Dara,"Say nothing. They’re gone now. I would do anything to forget who I was."
Ciri,"I can’t. I have to find my destiny."
Dara,"Why? Because your grandmother said you should? Maybe you should start thinking for yourself. Because she is dead. And you are here."
Calanthe,"Damn this cursed thing. I’d as soon see this night out in armor."
Geralt,"As would I."
Calanthe,"Indeed. Tell me how does a witcher find himself at my daughter’s wedding feast dressed like a…?"
Geralt,"I’m protecting the bard from vengeful royal cuckolds."
Calanthe,"Hm! Idiots, the lot of them. Still, I’m glad of your company, which could prove handy. I have no doubt blood will spill here tonight."
Geralt,"Ah, save the good Queen’s breath. I’m not for hire as a bodyguard."
Calanthe,"You were hired just so by the bard."
Geralt,"I’m helping the idiot free of his coin."
Calanthe,"And he’s the idiot? I’m simply saying, surely if all goes to hell here tonight, I can count on you to strategically remove certain irritants that may present themselves? I’d do so myself, only I’m bound to uphold an artifice of decorum and… fairness."
Geralt,"Hey. I can’t help you."
Calanthe,"So perilously direct. As Queen, I could command it."
Geralt,"If I were one of you subjects."
Calanthe,"I could torture you so very slowly into compliance."
Geralt,"Her Majesty will do as she wishes. I’m not for turning."
Calanthe,"Oh, come now. Everyone has their price."
herald,"Lord Peregrine of Nilfgaard."
man,"Good chance, Peregrine, ahh!"
man 2,"Go on, Lord Peregrine!"
Calanthe,"Make another sound, Draig Bon-Dhu, and I’ll have your guts sewn into pips and sent to your mother."
Lord Peregrine,"Queen Calanthe, my marriage to your daughter will unite the jewels of the north and south, forging an unbreakable alliance that none would dare cross. And I’m one of five brothers with no sisters. My potent seed inside Pavetta will produce the strongest of male heirs."
Calanthe,"Cintra is indeed the jewel of the north, yet Nilfgaard is the shit rag of the south, and that’s saying something! Tell me, is it true you drink piss water and feast on your own young? Nildfgaardian kings don’t remain kings for long. Who will take the Usurper’s crown? You? How long will you last? A year? A month? A day?"
herald,"Lord Steergart of Kaedwen."
Queen Kalis,"I know what they say, “Poor Queen Klais, another girl.” I mean, I’m just a womb to him. No more than a fleshy contraption for squeezing out heirs. Bastard cares more about his hounds than he does about me. Take her. Shh. Why don’t you stay in Lyria? Keep me company."
Yennefer,"As soon as I’ve delivered Your Majesty safely back to court, I’m afraid I must return to Aedirn."
Queen Kalis,"I envy you. Truly. A king’s mage. How splendid! Oh. Oh, come, now. We’ve been travelling together for days. Speak freely."
Yennefer,"I love… that I traded everything to get my seat at court. I love that I believed that it would all be worth it, that this would be my legacy. The greatest mage to have ever graced a court. And I really, really love… that instead, I’ve gotten to spend the last… three decades cleaning up stupid political messes. Glorified royal arse wiper."
Queen Kalis,"I have it far worse. People look at you for who you are, not for that you can give them. You made the right choice, giving all that nonsense up. To this baby, I am the whole world. If only it weren’t so boring."
Yennefer,"Run! Go! Run!"
Queen Kalis,"I’ll have that brigand’s head on a pike outside the King’s castle before nightfall. How dare he?"
Yennefer,"That was an assassin, not a brigand."
Queen Kalis,"What are you saying?"
Yennefer,"He was paid to kill you."
Queen Kalis,"What? Why?"
Yennefer,"It appears you’ve run out of chances to provide your King a male heir."
Queen Kalis,"No, he wouldn’t. Oh, that prick!"
Yennefer,"Go! Go! We’re being tracked! Think! What did the King give you that could be traced? Come on! I can’t hold it. Hurry! They’re still tracking us."
Queen Kalis,"Get you, you useless witch. How could you not foresee this? You were supposed to protect me. Oh, you horrible, useless bitch!"
Jaskier,"Oh, fishmonger, oh fishmonger / Come quell your daughter’s hunger / To pull on my horn / As it rises in the morn / For ‘tis naught but bad luck / To fuck with a puck / Lets your grandkid be born / A hairy young faun / Bleating and braying all day, hey ho / The fishmonger’s daughter, ba ,ba"
Calanthe,"How much more of this peacocking must I endure? This… All this because male tradition demands it. If I were a man, I could simply tell the whole lot of them to fuck off, declare outright who Pavetta should marry and have done with it. Or, better yet, let the poor girl decide her own fate."
Geralt,"Something tells me this isn’t the fist time you’ve navigated the vagaries of male tradition. In fact, I’d wager you thrive on it."
Calanthe,"Spoken as one who has navigated his own share of fools."
Geralt,"Hm."
Calanthe,"Tell me, Witcher, why are there so few of you left?"
Geralt,"Hm. It is no longer possible to create more of us, since the sacking of Kear Morhen. Tell me, Your Majesty… why do you risk your life on the battlefield when you can rest on your throne?"
Calanthe,"Because there is a simplicity in killing monster, is there not? Seems we are quite the pair, Geralt of Rivia."
Geralt,"Hmm."
Eist,"Crach! It’s time. Get your hairy ass up here."
Urcheon,"Forgive my late intrusion, Your Majesty, and for the misunderstanding with your guards. Please! I come in peace. I need but one moment of your time. I am Lord Urcheon of Erlenwald and I have come to claim your daughter’s hand in marriage."
Calanthe,"A knight… of no renown… from a backwater hamlet… who dares to enter my court without revealing his face?"
Urcheon,"I apologize, Your Majesty. A knight’s oath prevents me from revealing my face until the sounding of the twelfth bell."
Eist,"Bollocks to that."
Calanthe,"Witcher, kill it."
Geralt,"No."
Calanthe,"Whatever the price."
Geralt,"This is no monster."
Calanthe,"I order you."
Geralt,"This knight has been cursed."
Calanthe,"You’re as useless as the rest of them. Slay this beast!"
Urcheon,"Lioness of Cintra, I come to claim what is rightfully mine! Pavetta. By the Law of Surprise."
Pavetta,"No!"
Calanthe,"Kill them both!"
Eist,"The Law or Surprise has been called. You kill them… kill me."
guard,"My Queen…"
Calanthe,"Stop! Stop!"
Queen Kalis,"Please. I can give him a boy. Take her instead. As a sacrifice."
Pavetta,"Duny. I told you to stay away."
Urcheon,"Your Majesty… the witcher speaks the truth. I was cursed as a young boy. My while life a living misery until the day that I saved your husband, King Roegner, from certain death. By tradition, I chose the law of Surprise as payment. Whatever windfall he came home to find… would be mine."
Calanthe,"Oh, the stupid bastard. Better you had let him die!"
Geralt,"You knew he’d come, and you pushed me to kill him."
Calanthe,"And you… carousing with the beast that swindled your stupid father!"
Eist,"‘Tis no swindle. Asking for payment with the Law of Surprise is as old as mankind itself."
Calanthe,"Don’t lecture me, Eist."
Eist,"It’s an honest gamble. As likely to be rewarded with a bumper crop as a newborn pup. Or… a child of surprise. He could not know. Destiny has determined the surprise be Pavetta."
Urcheon,"When I head that King Roegner had returned to find a child on the way… I abandoned all thought of claiming the Law of Surprise. I knew…. I knew no woman would ever accept me like this. And so I waited. I waited until the twelfth bell when the curse breaks. I never intended to meet her. Just to watch from afar."
Pavetta,"Until destiny intervened… and our hearts collided."
Urcheon,"And at dawn, I awoke with her in my arms and me… like this."
Eist,"Who are we to challenge destiny? Life was saved, debt must be paid, or the whole order of the world falls apart."
Mousesack,"Honor destiny’s wish, or unleash its wrath upon us."
Calanthe,"There is no us. I bow to no law made by men who never bore a child! Is there not a man amongst you who does not cower before destiny? You, Witcher… who has known monsters of every fang and claw… are you afraid too?"
Geralt,"No. I’ve seen mothers lash themselves raw over the death of a child, believing they crossed destiny, ignoring the stench of the 50 other children in the plague cart outside. Destiny… helps people believe there’s an order to this horseshit. There isn’t. But a promise made must be honoured. As true for a commoner… as it is for a queen."
Pavetta,"I love Duny, Mother. I will marry him. I will finally be free."
Calanthe,"Here is your destiny."
Pavetta,"NO!"
Eist,"My Queen, are you hurt?"
Eist,"Do you believe in destiny now?"
Calanthe,"I thought your grandmother’s gift had skipped you… as it did me. It seems I was wrong. About so many things. Destiny has spoken! And I have listened. The Law of Surprise will be honored. Pavetta will marry… Lord Urcheon."
Eist,"React poorly and you won’t just face the Lioness, you will be facing the sea hounds of Skellige. Because Queen Calanthe has… agreed to my proposal of marriage."
Calanthe,"There will be two vows here tonight! I assume that’s agreeable. Delightful."
Pavetta,"NO!"
Ciri,"Dara? Dara?"
Dara,"I drank the waters. It’s gonna be okay."
Ciri,"What’s going to be okay?"
Dara,"Everything."
Eithne,"Leave your past behind. Join us. Drink and forget."
Ciri,"Why isn’t it working?"
Eithne,"Come. Shan-Kayan calls to you."
Yennefer,"Which one of us are you here for? I’m sorry you didn’t have a life. But if truth be told you’re not missing much. I know it’s easy for me to say with warm breath in my lungs, and you with nothing. Still… what would you have had? Parents? Well, they’re the ones who wrote your last act, so not much lost there. Friends? Most likely fair weather. Lovers? Fun for a bit, I’ll admit, but all eventually disappoint. And let’s face it, you’re a girl. Your mother was right about one thing. We’re just vessels. And even when we’re told we’re special, as I was, as you would have been, we’re still just vessels… for them to take… and take… until we’re empty… and alone. So, count yourself lucky. You’ve cheated the game and won without even knowing it. Sleep well."
Calanthe,"Pavetta. Duny. With my blessing… I thee bind."
Pavetta,"The twelfth bell has not yet rung."
Calanthe,"What has happened?"
Mousesack,"I think your blessing of this marriage… has fulfilled a destiny. The curse has been lifted."
Jaskier,"Whew! I think this has the makings of my greatest ballad yet."
Geralt,"If you’re alive in the morning. Don’t… grope for trout in any peculiar rivers until dawn."
Urcheon,"No, Wait! Wait. You saved my life. I must repay you."
Geralt,"You’re proven yourself to be the kind of man who would do the same. I want nothing."
Urcheon,"No, please. Please, Geralt of Rivia, do not feel like you’re doing me a service. I cannot start a new life in the shadow of a life dept."
Geralt,"Fine. I… claim the tradition as you have, the Law of Surprise. Give me that which you already have but do not know."
Calanthe,"No! What have you done, Witcher?"
Geralt,"Fear not, Your Majesty, if I’m seen in your kingdom again, it’ll be to kill a real monster, not lay claim to a crop or a new pup. Destiny can go fu-"
Carlanthe,"Pavetta? Are you…? Oh…"
Geralt,"Fuck."
Mousesack,"Clearly the girl has access to immense primal power."
Geralt,"Yeah, and with no idea how to control it."
Mousesack,"I’m gonna stay. Guide her."
Geralt,"You’re a good man, Mousesack."
Mousesack,"You should stay too."
Geralt,"This has been enough partying for me. I’m getting out of here. Alone."
Mousesack,"You’re bound to this now, Geralt. Whether you like it or not."
Geralt,"I’m not for changing. You know me better than that."
Mousesack,"Yes, I do, but you can’t outrun destiny just because you’re terrified of it. It’s coming Geralt. Not believing won’t change that."
Geralt,"Bullshit. This was just a girl using her magic to stop her mother from gutting her lover. Nothing more."
Mousesack,"So you say. But the bon that will come into being between you and this child… when it is borne, will be extraordinary. If you dismiss it, leave without claiming this… child surprise, you will surely unleash true calamity upon us all."
Geralt,"I’ll take that chance. Mind yourself. True words are rare birds in courts like this. Watch for daggers in your back. Or, more likely, poison. Be careful, old friend."
mage,"Queen Calanthe.Mistress, I’ve found her!"
Cahir,"Is it working?"
Fringilla,"Calanthe’s progeny is in Brokilon Forest."
Field Marshall,"We can spare ten thousand men to take it, sir. Maybe 12."
Cahir,"Shut up! Armies are not the way into Brokilon Forest. Damn it."
soldier,"Come on, get moving!"
Eithne,"You must drink from the source."
voice,"What are you, child?"
doppler,"Love surprises. Love visitors. A surprise visitor all the more."
Cahir,"I've had eyes on you for a while."
doppler,"We're very flattered. But who is this secret peeper peeping all our secrets?"
Cahir,"I know who you are. What you are. You're different to other dopplers. You're not good-natured or helpful, are you?"
doppler,"And yet you are here for our help. Do you not have errand boys where you come from?"
Cahir,"They lacked your valuable set of skills.  Don't worry. It's not silver."
doppler,"We fancy our freedom. It is not money we thirst for, per se."
Cahir,"There is plenty that you do thirst for. Assassination on behalf of the Kingdom of Nilfgaard. Or perhaps another eye or ear to round out your artful composition."
doppler,"We'd planned on wearing this one for a while. But we are flexible."
Fringilla,"A cell of dimeritium made just for you. How does it feel to be neutered of your powers?"
Mousesack,"I know how you were schooled, how you were shaped. This isn’t who you are."
Fringilla,"The White Flame made me who I am… gave me a higher purpose. You could have had that too, if only you realized that Cintra had to fall."
Cahir,"I have found his purpose."
doppler,"This one? Do we have to?"
Cahir,"Run. I said, run!"
doppler,"Everything you’ve ever done, ever debated, ever dreamed is in our head now. Even this morning, when you thought to take your life."
Cahir,"He didn’t want to be abused."
doppler,"Incorrect. He didn’t want to be used."
Mousesack,"You can’t change the world this way."
Cahir,"Only one of us will be alive to find out. "
Mousesack,"You don’t know what you’re doing. You don’t know what she is."
Cahir,"She will end up where she belongs."
doppler,"Would’ve made a terrible noose."
Cahir,"You’re to bring me the girl alive."
doppler,"So many rules. Fine. But it’ll cost you. Children are our favorite."
Hemet,"You’re a wee bit shy."
Yennefer,"I’ve never been shy a day in my life. Count it again."
Hemet,"Times are shifting, my dear. My rates have gone up since last we spoke. I’ve found more demand for my services. Then your customers will be awfully disappointed when they find a charred spot where you once stood."
Hemet,"None more so than yourself. You’ve come so far already. Just a few more… treatments should to the trick. Isn’t it lovely… the life we’ve chosen? Not being bound by the rules of the Brotherhood."
Yennefer,"Living off the grid with no resources. Mm. It’s a dream come true."
Hemet,"Lucky for you, you found your way to an intolerant kingdom. For quick coin, head to the nearest town in any direction. Your skills will be rewarded."
Yennefer,"If it’s as you say, then why aren’t you out there taking advantage? As you’re so inclined."
Hemet,"Because my customer… come to me."
Yennefer,"Hm."
Hemet,"I see a lot of myself in you. Follow my footsteps. You could gain some repute. Find a whole new career to fund what you… so desperately want. With mages like us, word of mouth is paramount."
Yennefer,"There is no “us”. There’s only me. And I know a thing or two about stirring word of mouth."
middle aged woman,"I’d given up altogether. Love, that’s nice, but not in the cards for me. Not in my lifetime. It took me nearly a whole one to find him."
man,"As you can see, passion is not the trouble. Our issue… my… issue is of a mechanical nature."
Yennefer,"Hm. I have just the thing. Now, be prepared. The spell should take effect quickly, and will endure until your lady utters a handpicked magic word. Anything come to mind?"
middle aged woman,"Kumquat?"
Yennefer,"You arrived at that rather quickly. Kumquat it is."
man,"We better go now, schnucki."
Beau Berrant,"What is this… wretched business here?"
Yennefer,"Did you not understand the sign?"
Beau Berrant,"Are you familiar with who I am?"
Yennefer,"Well, won’t you end this rather melodramatic suspense and tell me?"
giant bald guard,"He is Beau Berrant."
Bean Berrant,"Perhaps you are not aware of the rules here? If you are casting spells, I need to collect what’s due to the kingdom."
Yennefer,"I’m afraid those terms seem rather shite to me. I did suspect you possessed such a predilection. Though I am less… burly than your usual type."
dryad general,"We can’t trust her. She hid her identity, her past, her ties to Cintra… Shan-Kayan is the only reason we know who she is."
Eithne,"Ciri was scared. Perhaps she can’t yet trust us."
dryad general,"We still don’t know her intent."
Eithne,"She’s a girl…"
dryad general,"Who possesses the power of a weapon."
Eithne,"In Brokilon, she can be molded. She can become one of us."
dryad general,"She’s not one of us."
warrior dryad,"Nilfgaardian spies. Found them searching our border."
Eithne,"Their whole army will arrive. It’s only a matter of time. What if this girl… is our only way… to survive? Ciri… will be allowed to stay."
Ciri,"I don’t think they like me."
Eithne,"When Queen Calanthe closed the borders of Cintra, it was to protect her people. The General wants to protect us. We all make decisions. The sword of destiny has two edges."
Ciri,"What does that mean?"
Eithne,"You must make the choice. You can stay. Or you can continue on your search. What do you want to do?"
Jaskier,"‘Cause you all know that this bard / Loved ladies from Nilfgaard / ‘Cause Nilfgaard can kiss my… Geralt! Hello. What’s it been, months? Years? What is time, anyway? I heard you were in town. Are you following me, you scamp? I mean, I’m flattered and everything, but you should really think about getting a hobby one of these days. Ugh! Do you want some? “How are you doing?” I hear you ask."
Geralt,"I didn’t."
Jaskier,"Well, the Countess de Stael, my muse and beauty of this world, has left me. Again. Rather coldly and unexpectedly, I might add. I fear I shall die a brokenhearted man. Or a hungry one, at the very least, unless somebody fancies sharing a fish with an old friend? Oh, are we not using “friend”? Yeah, sure. Let’s just give it another decade. Geralt, you’re fantastic at a great many things, but clearly, fishing is not one of them. Have you caught anything today? What are you fishing for, exactly? Is it cod? Carp? Pike? Bream? I’m just- I’m just listing fish that I know. Zander? Is that a fish?"
Geralt,"I’m not fishing. I can’t sleep."
Jaskier,"Right. Good. Well, that- that makes sense. Insomuch that is sort of… doesn’t. What’s going on, Geralt? Talk to me."
Geralt,"A djinn."
Jaskier,"A what?"
Geralt,"I’m looking for a djinn."
Jaskier,"For a dj- For a djinn? A dj- Like a genie? The floaty fellas with the… the bad tempers and the banned magics, that kind of genie?"
Geralt,"Yes. It’ll grant me wishes. It’s in this lake somewhere. And I can’t fucking sleep!"
Jaskier,"I don’t mean to play priest’s ear or anything, but has it occurred to you that maybe we’re merely rubbing salve on a tumor? Not exactly addressing the root cause of the problem? Hm? I mean, maybe, just- just maybe, this whole sleeplessness-ness has got something to do with what the druid Mousesack said to you in Cintra? You know the Law of Surprise? Destiny? Being unable to escape the child that belongs to you, et cetera, et cetera?"
Geralt,"No! it’s not that."
Jaskier,"Yeah, you’re probably right. But what if you’re not? You know the Countess the Stael once said to me that destiny is just the embodiment of the soul’s desire to grow."
Geralt,"Did you sing to her before she left?"
Jaskier,"I did, actually, and she… Why, what are you implying? Oh… We are so having this conversation. Come on, Geralt. Tell me. Be honest. How’s my singing?"
Geralt,"It’s like ordering a pie and finding it has no filling."
Jaskier,"You need a nap! I mean, are you trying to hurt my feelings, Geralt? It’s… It’s down- downright indecorous of you, if I’m completely honest, and- Wow. Wow. What is- What is that?"
Geralt,"It’s a wizard’s seal. The djinn."
Jaskier,"Do you mind if I-"
Geralt,"Jaskier"
Jaskier,"Take back that bit about my fillingless pie. Take it back and then you can have your djinny-djin-djinn."
Geralt,"Let go."
Jaskier,"No! No, let go, you horse’s arse! Hm. That’s a bit of an anticlimax. Or is it? Djinn, I have freed thee, and as of this day, I am thy lord. Firstly, may Valdo Marx, the troubadour of Cidaris, be struck down with apoplexy and die. Secondly, the Countess de Stael must welcome me back with glee, open arms and very little clothing. Thirdly-"
Geralt,"Jaskier!"
Jaskier,"Wha-"
Geralt,"Stop! There are only three wishes."
Jaskier,"Oh, come on, you always say you want nothing from life. So how was I supposed to know you wanted three wishes all to yourself?"
Geralt,"I just want some damn peace!"
Jaskier,"Well, here’s your peace!"
Geralt,"Jaskier."
Geralt,"Is there a doctor here?"
militia guard,"Yes, yes. Chireadan, the elf healer. Over there."
Chireadan,"A djinn in a bottle? It’s like a fairy tale."
Geralt,"Without the happy ending. Can you help him?"
Chireadan,"Oh, dear."
Geralt,"What?"
Chireadan,"I assure you I have received the best medical education right here in Rinde, but… these injuries are of a magical nature. I can help with the pain, but it’s a bit like…"
Geralt,"Putting salve on a tumor?"
Jaskier,"No!"
Chireadan,"His throat was attacked. If the spell’s action isn’t halted as soon as possible, that damage might be irreversible."
Jaskier,"Wha-"
Chireadan,"And the longer he goes untreated, the more likely it is to spread. He could die."
Jaskier,"Fuck! Geralt."
Geralt,"Uh... Yeah, we won‘t let that happen."
Chireadan,"The medicine should buy him a few hours, but he needs a magical remedy. You’ll have to take him to another town."
Geralt,"There isn’t a mage here?"
Chireadan,"Uh… The mayor says they are dangerous."
Geralt,"What aren’t you saying? Tell me."
Chireadan,"Well… there… there is one mage. I… was tasked with bringing this mage to justice. But I was unable to penetrate certain defenses. The mayor himself has made the catch and has imprisoned the mage in his house."
Geralt,"That wasn’t so fucking hard, was it?"
Chireadan,"Be careful. The mage is powerful and malicious. And quite cunning."
Geralt,"I’ll go find him."
Tissaia,"You like pain. I get it."
Yennefer,"I inflict pain."
